epoch,train_loss,train_acc,val_loss,val_acc,seconds
1,1.83756131275177,0.31632,1.5518881456375122,0.4247,25.874513864517212
2,1.4885280891799926,0.45306,1.3959954696655272,0.4837,23.165699005126953
3,1.3430184564208985,0.50932,1.2646253416061402,0.5416,21.675287008285522
4,1.2372080108642578,0.55074,1.1895118347167968,0.5745,23.37167739868164
5,1.1460033907318115,0.5862,1.1058831661224364,0.6081,31.519497632980347
6,1.0812193144989013,0.61164,1.0497624101638794,0.6215,27.96545910835266
7,1.0187847177124023,0.6348,1.0228724754333496,0.6324,31.161726236343384
8,0.9696512112045288,0.65286,1.0242463605880738,0.6334,27.33637833595276
9,0.9239132816696167,0.67262,1.0081830757141113,0.6446,27.64399814605713
10,0.8782277847099305,0.68618,0.9017962239265442,0.6852,29.167150259017944
